"","X","screen_name","username","user_id","tweet_id","tweet_url","timestamp","timestamp_epochs","text","text_html","links","hashtags","has_media","img_urls","video_url","likes","retweets","replies","is_replied","is_reply_to","parent_tweet_id","reply_to_users","data$tweet_id"
"11",10,"lixievore","ᴢʏᴀ⁰³²⁵ // still alive",1127239179715276800,1223125382049611776,"/lixievore/status/1223125382049611776","2020-01-31 06:06:30",1580450790,"user shara04092268 has nothing better to do than create a new anonymous acc and go around commenting on people's legitimate concerns of anti-asian racism tweets saying we're ""whining,"" calling a virus racist, and overreacting. pls report pic.twitter.com/nrJmpGCQOZ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">user shara04092268 has nothing better to do than create a new anonymous acc and go around commenting on people's legitimate concerns of <strong>anti</strong>-<strong>asian</strong> racism tweets saying we're ""whining,"" calling a <strong>virus</strong> racist, and overreacting. pls report <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/nrJmpGCQOZ"">pic.twitter.com/nrJmpGCQOZ</a></p>","[]","[]","True","['https://pbs.twimg.com/media/EPlp8k3UcAUdyLs.jpg', 'https://pbs.twimg.com/media/EPlp-tvUEAAi2du.jpg', 'https://pbs.twimg.com/media/EPlqAU1VAAMtvZx.jpg', 'https://pbs.twimg.com/media/EPlqCJPVAAI78XJ.jpg']",NA,9,1,2,"True","False",NA,"[]",1223125382049611776
"12",11,"SoySonoratown","Sonoratown",1216637995903635456,1223093915391160320,"/SoySonoratown/status/1223093915391160321","2020-01-31 04:01:28",1580443288,"In response to the anti Asian atmosphere created by this disease, this is how serio ur pinche virus eyyyy #coronavirus #corona #serio @ Sonoratown https://www.instagram.com/p/B7-ElAnAwdd/?igshid=ljch1e0i3x8m …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">In response to the <strong>anti</strong> <strong>Asian</strong> atmosphere created by this disease, this is how serio ur pinche <strong>virus</strong> eyyyy <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b>coronavirus</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/corona?src=hash""><s>#</s><b>corona</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/serio?src=hash""><s>#</s><b>serio</b></a> @ Sonoratown <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/B7-ElAnAwdd/?igshid=ljch1e0i3x8m"" dir=""ltr"" href=""https://t.co/Niacnywrgk"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/B7-ElAnAwdd/?igshid=ljch1e0i3x8m""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/B7-ElAnAwdd/</span><span class=""invisible"">?igshid=ljch1e0i3x8m</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>","['https://www.instagram.com/p/B7-ElAnAwdd/?igshid=ljch1e0i3x8m']","['coronavirus', 'corona', 'serio']","False","[]",NA,0,0,0,"False","False",NA,"[]",1223093915391160320
"13",12,"PMLAtienza","Paul Michael Leonardo Atienza",15686886,1237886945700622336,"/PMLAtienza/status/1237886945700622338","2020-03-11 23:43:41",1583970221,"#Drag collaborator @dragmaarte performed #Virus (synthpop) @spurlockmuseum #InHerCloset The Drag Show 15Feb2020 where she juxtaposed contemporary global anti-Chinese/Asian xenophobia due to #COVID19 with historical anti-Chinese/Asian exclusionary laws in the 19th-20th centuries. pic.twitter.com/ZpRjtU55gK","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Drag?src=hash""><s>#</s><b>Drag</b></a> collaborator @dragmaarte performed <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Virus?src=hash""><s>#</s><b><strong>Virus</strong></b></a> (synthpop) <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""45857882"" dir=""ltr"" href=""/spurlockmuseum""><s>@</s><b>spurlockmuseum</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InHerCloset?src=hash""><s>#</s><b>InHerCloset</b></a> The Drag Show 15Feb2020 where she juxtaposed contemporary global <strong>anti</strong>-Chinese/<strong>Asian</strong> xenophobia due to <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19?src=hash""><s>#</s><b>COVID19</b></a> with historical <strong>anti</strong>-Chinese/<strong>Asian</strong> exclusionary laws in the 19th-20th centuries. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZpRjtU55gK"">pic.twitter.com/ZpRjtU55gK</a></p>","[]","['Drag', 'Virus', 'InHerCloset', 'COVID19']","True","['https://pbs.twimg.com/media/ES3aFLPWkAAkvEC.jpg']",NA,8,1,1,"True","False",NA,"[]",1237886945700622336
"14",13,"pxssengers","le brunch des canotiers",769051642176077824,1237885522044846080,"/pxssengers/status/1237885522044846082","2020-03-11 23:38:01",1583969881,"funny how one virus can uncover centuries of anti-asian sentiment in the us... almost like you've all always been racist but now you have an excuse","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">funny how one <strong>virus</strong> can uncover centuries of <strong>anti</strong>-<strong>asian</strong> sentiment in the us... almost like you've all always been racist but now you have an excuse</p>","[]","[]","False","[]",NA,2,0,0,"False","False",NA,"[]",1237885522044846080
"15",14,"GlennnRoss","GlenGarry✡️🐕👮‍♂️🐿️👨‍💻",973692154626404352,1237833253286969344,"/GlennnRoss/status/1237833253286969347","2020-03-11 20:10:20",1583957420,"So let's look at another example of leftist logic. People who used to go to Chinese and Asian restaurants but they have stopped because of the virus are just straight up anti Asian racist around the Coronavirus. https://twitter.com/RealSaavedra/status/1237635963800543232 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">So let's look at another example of leftist logic. People who used to go to Chinese and <strong>Asian</strong> restaurants but they have stopped because of the <strong>virus</strong> are just straight up <strong>anti</strong> <strong>Asian</strong> racist around the Coronavirus. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/RealSaavedra/status/1237635963800543232"" dir=""ltr"" href=""https://t.co/Gtr0aHEvzh"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/RealSaavedra/status/1237635963800543232""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/RealSaavedra/s</span><span class=""invisible"">tatus/1237635963800543232</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>","['https://twitter.com/RealSaavedra/status/1237635963800543232']","[]","False","[]",NA,1,0,0,"False","False",NA,"[]",1237833253286969344
"16",15,"yeosangrights","蔡🐱",1194832350137466880,1237830751539863552,"/yeosangrights/status/1237830751539863555","2020-03-11 20:00:23",1583956823,"there. is. so. much. anti. asian. racism. as. a. result. of. this. fucking. virus. i. wish. it. would. just. kill. me. because. “my. people. started. it.”","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">there. is. so. much. <strong>anti</strong>. <strong>asian</strong>. racism. as. a. result. of. this. fucking. <strong>virus</strong>. i. wish. it. would. just. kill. me. because. “my. people. started. it.”</p>","[]","[]","False","[]",NA,0,0,0,"False","False",NA,"[]",1237830751539863552
"17",16,"SalesAgency_com","Sales Agency",1084598063359057920,1237789664766984192,"/SalesAgency_com/status/1237789664766984194","2020-03-11 17:17:07",1583947027,"The global spread of COVID-19, more commonly known as coronavirus, has triggered a little more than a number of canceled conferences and a large face mask shortage. Many have used the outbreak of the virus in Wuhan, China as an excuse to bolster anti-Asian sentiments, spreading m","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The global spread of COVID-19, more commonly known as coronavirus, has triggered a little more than a number of canceled conferences and a large face mask shortage. Many have used the outbreak of the <strong>virus</strong> in Wuhan, China as an excuse to bolster <strong>anti</strong>-<strong>Asian</strong> sentiments, spreading m</p>","[]","[]","False","[]",NA,0,0,0,"False","False",NA,"[]",1237789664766984192
"18",17,"WeaponOutfitter","WeaponOutfitters.com",150817618,1237654679678377984,"/WeaponOutfitter/status/1237654679678377987","2020-03-11 08:20:44",1583914844,"Well this is a bit awkward but people obstensibly “on my side” showing their anti-asian racism because of Corona virus makes me a little fucking mad since I’m Taiwanese.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Well this is a bit awkward but people obstensibly “on my side” showing their <strong>anti</strong>-<strong>asian</strong> racism because of Corona <strong>virus</strong> makes me a little fucking mad since I’m Taiwanese.</p>","[]","[]","False","[]",NA,83,0,15,"True","False",NA,"[]",1237654679678377984
"19",18,"erosbittersweet","mehitabel",415235903,1237621834444468224,"/erosbittersweet/status/1237621834444468225","2020-03-11 06:10:13",1583907013,"I see the ‘racialise covid-19 and refer to it as the China/Wuhan virus’ talking point has been circulated to republicans/Trump-sympathising media in the US. Since so much of our social media is US-driven, getting ready for another wave of anti-Asian sentiment","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I see the ‘racialise covid-19 and refer to it as the China/Wuhan <strong>virus</strong>’ talking point has been circulated to republicans/Trump-sympathising media in the US. Since so much of our social media is US-driven, getting ready for another wave of <strong>anti</strong>-<strong>Asian</strong> sentiment</p>","[]","[]","False","[]",NA,0,0,1,"True","False",NA,"[]",1237621834444468224
"20",19,"setochungster","Chung Seto",247469623,1237577498159747072,"/setochungster/status/1237577498159747074","2020-03-11 03:14:03",1583896443,"The irrational fear & anti-Asian sentiment is real. We’ve been imploring media outlets & electeds ⁦@GOPLeader⁩
to stop fanning anti-Asian xenophobia by using Chinese virus during this public health crisis. These attacks are unjustified & must stop! https://nypost.com/2020/03/10/unhinged-woman-slugs-asian-lady-for-not-wearing-coronavirus-mask/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The irrational fear &amp; <strong>anti</strong>-<strong>Asian</strong> sentiment is real. We’ve been imploring media outlets &amp; electeds ⁦<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19739126"" dir=""ltr"" href=""/GOPLeader""><s>@</s><b>GOPLeader</b></a>⁩
to stop fanning <strong>anti</strong>-<strong>Asian</strong> xenophobia by using Chinese <strong>virus</strong> during this public health crisis. These attacks are unjustified &amp; must stop! <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nypost.com/2020/03/10/unhinged-woman-slugs-asian-lady-for-not-wearing-coronavirus-mask/"" dir=""ltr"" href=""https://t.co/iT4QGB8Hwc"" rel=""nofollow noopener"" target=""_blank"" title=""https://nypost.com/2020/03/10/unhinged-woman-slugs-asian-lady-for-not-wearing-coronavirus-mask/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nypost.com/2020/03/10/unh</span><span class=""invisible"">inged-woman-slugs-asian-lady-for-not-wearing-coronavirus-mask/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>","['https://nypost.com/2020/03/10/unhinged-woman-slugs-asian-lady-for-not-wearing-coronavirus-mask/']","[]","False","[]",NA,2,0,0,"False","False",NA,"[]",1237577498159747072
